Node1,Node2
22509,22525
22509,22535
19365,19368
19365,20210
20279,20280
20612,20631
20612,20635
18540,18544
18540,21537
18540,21548
17726,17730
17726,22889
17726,22900
17845,17854
17845,22645
18984,18995
20933,30334
18598,18606
17602,17612
17602,17614
17602,17713
18980,18981
17767,17777
17767,22784
20680,20696
20680,20697
20260,20263
20260,20270
21742,21748
22169,22180
22169,22190
18285,18295
18285,18312
18285,21921
18285,21957
22975,22978
18791,18795
20041,20046
20348,20351
15189,19774
18426,18429
18426,21745
18426,21748
18426,21752
22668,22720
18392,18395
18392,21736
18009,18043
18009,22363
17725,17726
17740,17750
17740,22853
22057,22061
22057,22064
15184,19754
21141,21163
21645,21655
21645,21665
22963,22967
22963,22970
17983,17985
17983,22462
21512,21513
19492,19493
17539,17541
17539,23210
18359,18369
18359,18382
18359,18399
18359,21780
18359,21805
18359,21830
22289,22296
22289,22299
18914,18924
18914,18937
18914,18954
18914,20874
18914,20899
18914,20924
22591,22598
22591,22601
19553,19563
20541,20544
18796,18799
18796,21141
18796,21144
18796,21148
21488,21493
18184,18185
18638,18648
18638,18650
18638,18712
21129,21138
21129,21141
20635,20642
20635,20645
17982,17983
22701,22704
22701,22711
18466,18470
18466,21681
18466,21692
18981,18984
18981,20839
18981,20842
18981,20846
20849,20853
20849,20856
18207,18210
18207,22038
15188,19791
21460,21512
20502,20512
20502,20518
17935,17952
17935,22509
15099,22492
19791,19807
19791,19817
18281,18285
18281,21983
18281,21994
22462,22465
15148,20999
18779,18799
20055,20066
20055,20076
20597,30477
22950,22956
21703,21709
21703,21710
18332,18342
21681,30048
19725,30802
20622,30464
18174,18184
18174,18197
18174,18214
18174,22082
18174,22107
18174,22132
20457,20473
20457,20477
15139,21284
18083,18093
18083,18095
18083,18157
15161,20501
18355,18359
18355,21839
18355,21850
17984,17985
22455,22457
20525,20534
20525,20537
20320,30581
21843,21850
21843,21853
18897,18907
18897,18909
18897,19008
18215,18224
18215,22041
19550,19553
19550,19908
23075,23086
23075,23096
23191,29463
20368,30555
22953,22975
19947,19977
19279,19280
15180,20055
20914,20933
20914,20937
20631,30451
22207,22223
22207,22233
19110,19119
19955,19958
20908,20909
18012,18013
20544,20547
22665,22695
21211,21216
21211,21226
18167,18168
22082,29905
15076,23155
19237,19247
19237,20394
17898,17908
17898,17910
17898,17972
21393,21398
18305,18322
18305,21905
20295,30594
21967,21983
21967,21987
23028,23047
23028,23051
19351,19354
19351,20235
19351,20238
19351,20242
19317,19320
19317,20226
18095,18096
19391,19395
19391,20171
19391,20182
18650,18651
21726,21733
18382,18383
19165,19166
20182,20183
17669,17689
17972,17982
17972,17984
17972,18083
23175,23191
23175,23195
15153,20804
21254,21257
18925,18934
19388,19389
19308,19317
15077,23112
22599,22601
21603,21619
21603,21629
21176,30256
18795,18796
20909,20914
20909,20924
19531,19535
23096,23112
23096,23113
17528,17538
17528,17540
17528,17602
21759,21789
22223,29840
18210,18228
19676,19677
19676,19679
20340,20341
20797,20803
20797,20804
15121,21709
17952,17962
17952,22482
20833,20836
20713,30425
21081,21088
21081,21091
17797,17798
21665,21681
21665,21685
19679,19680
19853,19869
19853,19873
19122,19123
21257,21263
21257,21264
22873,22889
22873,22893
21692,21693
21770,21773
21770,21780
18342,18352
18342,18354
18342,18453
19019,19021
19019,20794
23069,23075
23069,23076
18955,18964
18955,20833
18554,18555
18651,18655
18651,21379
18651,21390
15168,20395
17844,17845
21465,21468
17757,17767
17757,22810
19600,19617
19600,19791
21434,21460
19395,19405
19395,19422
19395,20109
19395,20145
21878,29970
19736,19737
17858,17866
19469,19479
19469,19492
19469,19509
19469,19968
19469,19993
19469,20018
19389,19391
19389,20190
20531,20534
19573,19574
17582,17592
17582,23086
21487,21488
19119,19153
19119,20551
20645,20650
20270,30607
18169,18170
20924,30347
22587,29697
19442,19452
21795,21798
21795,21805
18030,18039
18030,22343
19523,19531
15124,21566
21720,30035
20477,20484
20477,20487
22044,22050
22116,22117
17989,17999
17989,18012
17989,18029
17989,22384
17989,22409
17989,22434
21559,21565
21559,21566
17681,17685
19883,19888
17888,17898
18924,18925
20226,20252
15192,19709
17630,17639
15190,19753
21739,21742
17824,17858
17824,22665
22551,22561
22551,22571
15186,19833
21148,21151
22626,29684
17750,17767
17750,22811
18762,18765
18762,21132
21431,21440
21431,21443
19930,19936
15079,23096
19774,19790
19774,19791
22957,22960
18214,18215
20864,20867
20864,20874
22141,29866
21537,30100
15095,22535
18964,18984
18258,18268
18517,18527
17713,17723
17713,17725
17713,17787
20223,20232
20223,20235
18648,18649
17800,17804
17800,22745
17800,22756
22773,22784
22773,22794
15122,21773
17837,17840
17837,22642
19617,19627
19617,19764
18157,18167
18157,18169
18157,18268
18268,18278
18268,18280
18268,18342
21789,21790
21155,21185
15187,19790
15179,20076
19166,19169
19166,20537
19166,20540
19166,20544
23066,23069
20653,20659
20653,20660
15094,22472
21853,21858
19465,19469
19465,20027
19465,20038
21383,21390
21383,21393
18073,18083
21138,21144
21503,30126
19294,19295
17652,17655
17652,22944
18470,18480
18470,18497
18470,21619
18470,21655
22434,29762
21077,30282
18594,18614
20749,30412
15103,22314
18969,18980
19933,19955
18480,18490
18480,21645
22956,22957
18280,18281
19519,19539
18934,18968
18934,20853
20378,20394
20378,20395
18649,18651
18649,21398
20305,20310
20305,20320
20447,30529
22632,22639
20512,30503
21274,30204
15151,20803
22661,22665
22661,22668
19950,20002
18409,18429
21850,21851
19021,19025
19021,20775
19021,20786
23202,23203
18354,18355
18564,18598
18564,21457
19390,19391
19648,19650
19648,19744
21135,21138
15163,20502
18429,18440
15125,21629
15128,21603
19580,19590
19580,19607
19580,19807
19580,19843
22069,22072
22978,22981
22978,22988
19649,19650
17962,17972
20487,20492
20304,20305
22152,22153
23058,23059
15129,21586
22132,29879
21099,21105
21099,21106
17674,17685
20534,20540
21144,21145
19921,19930
19921,19933
19536,19539
19536,19933
19536,19936
19536,19940
19510,19519
19510,19927
17911,17915
17911,22587
17911,22598
21301,21317
21301,21327
21379,30165
17565,17582
17565,23113
22092,22097
19205,19206
18194,18228
18194,22061
20551,20581
18414,18425
15100,22471
22297,22299
22900,22901
18399,18400
20581,20582
15140,21263
21478,30139
18240,18241
22893,22900
22893,22903
18096,18100
18096,22285
18096,22296
18585,18594
18585,21437
19898,19908
19898,19914
19278,19280
19278,20348
22346,22352
18675,18692
18675,21301
15157,20696
17799,17800
15147,20998
21132,21158
15086,22853
15146,21041
21088,21089
19082,19092
19082,19094
19082,19193
22314,22324
22314,22330
21398,21401
19958,19961
19958,19968
22384,29788
20242,20245
22676,22679
22676,22686
17885,17888
17885,22626
21586,21602
21586,21603
22259,29827
18722,18723
17659,17660
21317,30191
19535,19536
18244,18255
15084,22774
18835,18836
19169,19180
18599,18610
15136,21343
18383,18392
17686,17689
17686,22953
17686,22956
17686,22960
19739,19744
22639,22648
22639,22651
20972,30321
18908,18910
18908,20952
18322,18332
18322,21878
20249,20279
23003,23006
23003,23013
21518,21537
21518,21541
19744,19747
22002,22005
15088,22811
21904,21947
20171,30633
22180,29853
22903,22908
22399,22402
22399,22409
15178,20093
22352,22353
20794,20797
18051,18055
22561,29710
15156,20739
19462,19463
19924,19950
17915,17925
17915,17942
17915,22525
17915,22561
21790,21795
22051,22054
22711,29658
22117,22122
22117,22132
21556,21559
19140,19149
19140,20531
17685,17686
18954,18955
21867,21878
21867,21888
22299,22304
19154,19165
19737,19739
21767,21770
21263,21274
21263,21284
22947,22950
20066,30672
19968,30724
21450,21453
19354,19365
19339,19350
15182,19961
21186,21191
19539,19550
18370,18379
17700,17703
17700,22928
15130,21565
21995,21997
20018,30698
19203,19204
20492,20495
19881,19883
18611,18614
18611,21443
18611,21446
18611,21450
22206,22249
22654,22655
22721,22726
22721,22736
18029,18030
15074,23076
20003,20008
20003,20018
17910,17911
15110,22169
22296,22297
21733,21742
21733,21745
17540,17541
19324,19325
20333,20340
20333,20343
15142,21169
20518,20525
21166,21169
21166,21176
15092,22679
17909,17911
17909,22606
20999,21015
20999,21025
21736,21762
21246,21247
19072,19082
19092,19093
22767,22773
22767,22774
21353,30178
21300,21343
15165,20421
22759,22764
19320,19338
21745,21767
17689,17700
22394,22399
18039,18059
19908,30737
17815,17824
19161,19165
21997,22002
22374,22377
22374,22384
21343,21353
21343,21363
20814,30386
15166,20437
20190,20193
18537,18538
21994,21995
18295,18305
18295,21947
19095,19099
19095,20631
19095,20642
22686,29671
15172,20263
18555,18564
20437,20447
20437,20457
19132,19135
19132,20528
21755,21759
21755,21762
18278,18279
20562,20565
20562,20572
21210,21211
20937,20944
20937,20947
20473,30516
19230,19247
19230,20395
19574,19576
19574,19888
20696,20739
18998,19008
22091,22092
18395,18413
22457,22462
18568,18577
15083,22918
15120,21867
20357,20368
20357,20378
15133,21408
15149,20982
18749,18783
18749,21155
18833,18834
18425,18426
15102,22377
17673,17681
19729,19736
19729,19739
17724,17726
17724,22908
20998,21041
15109,22190
15132,21471
18628,18638
18610,18611
18950,18968
18168,18170
18168,22160
15078,23113
21695,21700
21565,21576
21565,21586
19664,19676
19664,19678
19664,19679
15137,21300
20945,20947
18094,18096
18094,22304
18443,18453
20659,20670
20659,20680
18463,18464
21096,21099
18453,18463
18453,18465
18453,18527
22673,22676
18185,18194
15075,23139
22726,22745
22726,22749
20285,20288
20285,20295
15143,21106
20235,20257
19936,19937
17629,17630
15138,21301
18580,18598
21447,21450
15113,22012
20341,20343
22863,29593
21987,21994
21987,21997
22648,22654
19035,19045
19035,20739
21888,21904
21888,21905
22658,22661
22155,22160
17545,17555
17545,17572
17545,23129
17545,23165
19978,19983
18013,18022
22035,22044
22035,22047
22695,22696
22967,22997
20889,20892
20889,20899
19280,19284
19280,20329
19280,20340
18229,18240
15135,21327
15127,21602
22482,29736
19843,30763
15126,21645
18043,18051
17592,17602
19415,19432
19415,20093
15105,22233
20982,20998
20982,20999
20587,20590
20587,20597
22443,29749
15123,21710
19647,19648
18464,18466
18464,21700
18044,18055
20874,30373
18783,18791
18877,18887
18877,20972
21239,21246
21239,21249
22609,22615
22609,22616
19135,19153
19654,19664
19654,19699
19422,19432
19422,20092
17908,17909
18255,18258
18255,22022
15152,20867
21390,21391
22249,22259
22249,22269
21116,30269
19463,19465
19463,20046
22393,22394
18236,18240
18739,18740
20670,30438
22304,22307
20038,20039
17655,17673
18799,18810
19062,19072
19062,20670
22190,22206
22190,22207
22736,29645
19563,19573
19563,19575
19563,19637
20183,20185
19502,19505
19502,19924
19149,19169
20853,20883
21947,21957
21947,21967
19880,19881
15193,19679
17639,17673
17639,22967
19888,19891
19943,19947
19943,19950
18765,18783
20830,20856
21453,21457
21453,21460
15111,22011
21437,21440
17814,17815
21418,30152
19220,19230
19220,20437
18625,18628
18625,21418
19093,19095
19093,20650
19576,19580
19576,19869
19576,19880
18056,18059
18056,22349
18056,22352
18056,22356
20185,20190
17730,17740
17730,17757
17730,22827
17730,22863
17798,17800
17798,22764
18938,18947
20650,20653
19025,19035
19025,19052
19025,20713
19025,20749
22908,22911
22337,22346
22337,22349
15089,22794
20537,20559
22340,22366
18120,18137
18120,22207
19489,19523
19489,19947
15134,21264
18907,18908
15181,19897
18840,18850
18840,18867
18840,21015
18840,21051
19590,19600
19590,19833
19099,19109
19099,19122
19099,19139
19099,20572
19099,20597
19099,20622
21091,21096
15164,20358
18769,18770
19977,19978
21830,29996
20229,20232
19637,19647
19637,19649
18910,18914
18910,20933
18910,20944
15118,21905
21151,21155
21151,21158
18823,18833
18823,18835
18823,18897
22424,22443
22424,22447
20606,20607
21284,21300
21284,21301
20484,20485
15191,19747
18702,18712
21983,29931
23051,23058
23051,23061
20861,20864
15169,20378
18440,18443
18440,21720
19338,19346
20944,20945
18465,18466
19094,19095
21549,21551
22616,22626
22616,22632
21185,21186
18241,18244
18241,22047
18241,22050
18241,22054
15154,20660
18228,18236
20008,20027
20008,20031
15107,22206
19210,19220
19210,19237
19210,20411
19210,20447
20252,20304
23113,23129
23113,23139
15176,20135
18784,18795
22409,29775
22356,22359
22934,22941
17613,17615
17613,23066
15081,22917
21216,21235
21216,21239
15097,22508
18614,18625
21839,29983
22061,22091
21805,30009
22642,22668
21752,21755
17804,17814
17804,17827
17804,17844
17804,22686
17804,22711
17804,22736
18000,18009
17985,17989
17985,22443
17985,22454
22941,22950
22941,22953
19575,19576
17572,17582
17572,23112
20239,20242
20884,20889
18070,18073
18070,22324
18055,18056
15183,19898
18022,18025
18022,22340
17612,17613
20076,20092
20076,20093
21443,21465
20145,30646
19753,19764
19753,19774
22810,22853
17840,17858
15108,22207
19045,19062
19045,20697
18770,18779
18770,21135
21051,30295
20109,30659
19334,19354
22330,22337
20485,20487
21226,30230
22696,22701
23129,29489
18909,18910
22160,22163
22028,22035
19008,19018
19008,19020
19008,19082
20759,20775
20759,20779
20245,20249
20245,20252
18836,18840
18836,21077
18836,21088
21424,21431
19627,19637
23086,29502
19018,19019
22756,22757
22285,29814
20175,20182
20175,20185
18025,18043
17828,17837
17643,17652
19325,19334
19325,20229
19464,19465
19983,19986
19983,19993
19277,19278
17615,17619
17615,23047
17615,23058
22349,22371
17787,17797
17787,17799
17787,17898
20839,20861
18947,18950
18947,20830
22465,22471
22465,22472
18353,18355
18353,21858
19480,19489
18937,18938
20643,20645
22072,22075
22072,22082
23195,23202
23195,23205
15101,22313
21106,21116
21106,21122
20046,20049
15098,22509
21655,30061
22097,22100
22097,22107
17874,17885
18224,18244
21820,21839
21820,21843
22998,23003
18682,18692
18682,21300
18539,18540
21061,21077
21061,21081
19183,19193
20329,30568
20547,20551
20547,20554
22525,29723
22269,22285
22269,22289
21780,30022
18834,18836
18834,21096
17870,17871
21576,30087
20540,20541
22745,29632
19020,19021
23155,23165
23155,23175
20216,20223
19180,19183
19180,20512
20842,20843
22601,22606
21122,21129
22038,22064
20883,20884
17619,17629
17619,17642
17619,17659
17619,22988
17619,23013
17619,23038
17538,17539
15159,20680
22454,22455
20232,20238
21391,21393
23023,23028
23023,23038
22041,22044
20027,30685
22911,22917
22911,22918
18059,18070
22359,22363
22359,22366
18137,18147
18137,22180
18198,18207
22012,22022
22012,22028
18490,18507
18490,21603
19307,19308
20495,20501
20495,20502
15104,22170
18995,18998
18995,20814
21619,30074
22508,22551
18379,18413
18379,21759
20411,30542
17614,17615
17541,17545
17541,23191
17541,23202
23203,23205
20899,30360
18655,18665
18655,18682
18655,21317
18655,21353
22054,22057
15115,21931
22371,22374
19139,19140
19267,19277
19267,19279
19267,19378
22022,29918
19432,19442
19432,20066
20804,20814
20804,20820
20039,20041
21041,21051
21041,21061
21468,21471
21468,21478
21191,21194
21191,21201
19790,19833
18692,18702
18692,21274
15177,20092
17723,17724
18567,18568
19052,19062
19052,20696
15117,21904
15155,20723
18606,18610
19940,19943
19873,19880
19873,19883
17859,17870
19677,19678
19807,30776
18279,18281
18279,22002
20200,20210
20200,20216
18170,18174
18170,22141
18170,22152
22571,22587
22571,22591
15158,20697
19869,30750
20642,20643
17999,18000
23061,23066
23022,23023
21401,21407
21401,21408
22471,22482
22471,22492
15119,21888
20697,20713
20697,20723
22492,22508
22492,22509
22343,22346
22366,22418
22107,29892
20210,30620
17866,17870
18100,18110
18100,18127
18100,22223
18100,22259
22645,22648
21861,21867
21861,21868
18968,18976
18110,18120
18110,22249
22720,22721
22853,22863
22853,22873
18544,18554
18544,18567
18544,18584
18544,21478
18544,21503
18544,21528
15162,20565
22447,22454
22447,22457
20961,20972
20961,20982
22363,22393
18712,18722
18712,18724
18712,18823
22606,22609
19709,19725
19709,19729
22050,22051
18369,18370
20952,20955
20820,20827
19680,19699
19680,19709
